TARGETID,K_R,K_R_ERR,Z
39627898688111033,,inf,2.3930860194399677
39627820128800971,,inf,2.545998949286691
39627802013605274,,inf,2.643813246456052
39627802013602888,,inf,2.4634191152529628
39627832212592597,,inf,2.438524733091712
39627814097389476,,inf,2.4836588602667957
39627820137191540,,inf,2.770599582749653
39627820132999115,,inf,2.4834525350692807
39627820137187979,,inf,2.3182760967795284
39627735613573343,,inf,2.5020728475459113
39627747688978273,,inf,2.5084076194197777
39627741653372895,,inf,2.5485909954684653
39627735756178807,,inf,2.4121680466961966
39627856711519301,,inf,2.4179359823138618
39627856707326710,,inf,2.5515456535611785
39627862755509230,,inf,2.607574985412762
39627874818329357,,inf,2.396170339703642
39627874818329226,,inf,2.4154747780275048
39627874818327437,,inf,2.3998397615514535
39627856703131940,,inf,2.585115113694193
39627856711518408,,inf,2.322354010420195
39627910964843550,,inf,2.323671115632468
39627910981619370,,inf,2.590507508827515
39627868799501837,,inf,2.6088853997439148
39627874830912220,,inf,2.422633098440324
39627862780675460,,inf,2.3303287023063675
39627862776482371,,inf,2.339487654798477
39627862776481298,,inf,2.350128378636143
39627868807892358,,inf,2.539654406074705
39627868803695809,,inf,2.4968959199923515
39627766194242961,,inf,2.734877143711027
39627705636881108,,inf,2.7754425773297493
39627723747891813,,inf,2.4621256223203116
39628049360097145,,inf,2.3862113228937667
39628061246754472,,inf,2.6793605293593377
39628067265578969,,inf,2.4218380996941664
39628067265580126,,inf,2.3389116204210723
39628061326445793,,inf,2.327942724592495
39628067248804489,,inf,2.5468328147055606
39628073171159305,,inf,2.303390778134724
39628067261383585,,inf,2.425920663592182
39628061339027590,,inf,2.3694353455361936
39628073175352735,,inf,2.5557337741098496
39628067252998032,,inf,2.705663579943886
39628061330639832,,inf,2.6767260270178297
39628061334831414,,inf,2.540813751243233
39628067252994722,,inf,2.7342410083147004
39628055471194813,,inf,2.4034665421771004
39628049536255165,,inf,2.330442226292781
39628055471196814,,inf,2.3228190472469037
39628061397745809,,inf,2.454045888631936
39628055454418873,,inf,2.5756123542121943
39628067303330193,,inf,2.791076780826888
39628055462809574,,inf,2.5317590876972376
39628049523676379,,inf,2.3627805025095525
39628055462810813,,inf,2.4021978720216866
39628067307520077,,inf,2.778093430758406
39628055458614993,,inf,2.476382730633
39628061393552001,,inf,2.4076873825990015
39628055462805850,,inf,2.7476856928521967
39628061385165968,,inf,2.5160489352996036
39628055454418968,,inf,2.6931417757301563
39628043605509786,,inf,2.4325915645281313
39628007765181874,,inf,2.5589674747003985
39627887577405826,,inf,2.4785079443447815
39627881550193065,,inf,2.692941053225997
39627887581599043,,inf,2.5411894175216476
39627881541799059,,inf,2.31821301750166
39627887573206037,,inf,2.793730134580227
39627881541801579,,inf,2.6904965461426453
39627887560628135,,inf,2.7953514531336787
39627887569014807,,inf,2.342895197850612
39627893600420670,,inf,2.4784239811330293
39627893600420802,,inf,2.485466399879278
39627893600425345,,inf,2.4039994217878613
39627887577406135,,inf,2.3739655329771594
39627881533412729,,inf,2.3466200814005704
39627887573208493,,inf,2.419840729145717
39627887564822236,,inf,2.3103058879989344
39627887564822535,,inf,2.4660044181724254
39627875539752421,,inf,2.63459472391651
39627875543942171,,inf,2.683052303211571
39627965700508721,,inf,2.717058199317083
39627965708896277,,inf,2.377967678106247
39627983685683746,,inf,2.5325252528343736
39627977692022329,,inf,2.423832757058973
39627965704702476,,inf,2.3843454574681564
39627971710943582,,inf,2.554760045941581
39627971706751917,,inf,2.614331635145872
39627977696219404,,inf,2.699693001831294
39627893558478259,,inf,2.4416665166174596
39627899568919865,,inf,2.6336891147877792
39627899568916371,,inf,2.367695553792331
39627899577303135,,inf,2.4055515205642615
39627893541705500,,inf,2.7182002984525586
39627905591940804,,inf,2.3764248443531275
39627905591939513,,inf,2.37373644365278
39627899568917892,,inf,2.488846847734841
39627899568919813,,inf,2.6299785663912094
