Targetid,mag_g,magerr_g,mag_r,magerr_r,mag_i,magerr_i
39628339970839200,21.448042,-0.04687163021870101,21.170883,-0.03595149638514229,20.843409,-0.1422679485482394
39628339979225403,20.731617,-0.013338818591687658,19.983715,-0.007589277328242476,19.777222,-0.022257190847107367
39628339983417574,21.114962,-0.021463101515654615,20.661543,-0.01561463791101668,20.77967,-0.06021632353855367
39628339983421564,21.466072,-0.036730877805594184,21.405102,-0.05724537222321709,21.13787,-0.20875656007923815
39628340000197963,21.359575,-0.02791127615152774,20.98152,-0.020631887793412892,20.841883,-0.08289367827412761
39628345477955794,19.489082,-0.0049429607246196695,19.156631,-0.004183036604225449,19.257095,-0.016428460938750153
39628345507319817,21.329777,-0.024918018810248063,21.05441,-0.022027512853199982,20.719612,-0.05831442380238241
39628345507320804,19.54659,-0.004685330937838696,19.515114,-0.0049907403459973935,19.433977,-0.017388858260578066
39628345511515186,20.685682,-0.012801399784357933,20.13062,-0.00868957261630895,20.022224,-0.028635103326950954
39628345519901890,20.229704,-0.008611870577543259,19.78947,-0.006399730236098487,19.923342,-0.02585443860220952
39628345524093840,21.499554,-0.06433437050545565,21.355606,-0.04378511396844413,20.78064,-0.1891790497736691
39628345524094279,19.61554,-0.00526034986149067,19.467,-0.004992653437156908,19.297235,-0.01628398667268413
39628345524095560,18.70195,-0.0026626414148831394,18.537958,-0.0023782301428168866,18.603577,-0.009568074319401376
39628351039605921,20.837341,-0.014454086557073833,20.857578,-0.017104792881687297,20.470585,-0.039323265301177704
39628351039606572,18.887655,-0.0028404599483191142,18.749836,-0.002621579464876735,18.621828,-0.009092415693912006
39628351047995281,19.570845,-0.0048664749791179004,19.53222,-0.005059594470075905,19.52108,-0.018681177632682105
39628351056381126,18.017834,-0.0017039893334846342,18.149282,-0.0017956468135176158,18.09644,-0.006388646270274654
39628351056381500,21.404974,-0.030737235954365904,21.049282,-0.024034636496728146,20.657461,-0.07495985590386005
39628351056382011,21.080204,-0.018332515872417077,20.520187,-0.013268986280205784,20.37867,-0.043549805349958275
39628351073160339,21.123764,-0.018740935768497568,20.672167,-0.014055173102372845,20.446806,-0.040535828874859375
39628356555117391,21.44611,-0.03768157792454728,21.267696,-0.02952207553154098,20.7859,-0.08185999333920271
39628356588668550,19.724876,-0.007030272541948009,19.49955,-0.004943273023847971,19.445255,-0.015795494284107793
